entno,subject,content,id,lang
816056,掏空幸福人壽百億 前董座求重刑,"幸福人壽遭掏空百億資產案，特偵組昨依違反保險法、證交法、洗錢罪嫌起訴2名前董事長鄧文聰、黃正一，請求法院從重量刑；羈押中的鄧文聰移審台北地院，分案由金融庭法官審理，法官以本案並非法院組織法規定的辯論及宣判庭為由，罕見諭知本案不公開審理，歷經2小時庭訊，以有逃亡串證之虞，裁定鄧羈押禁見。

閉門審理 鄧羈押禁見　特偵組認定，鄧文聰掏空獲利4億1386萬美元、折合120餘億台幣，其中海外洗錢高達1億7650萬多美元及3893萬多港幣；掏空資產中，香港渣打銀行1億7845萬多美元全數匯回，另金管會要求EFG銀行匯回約6000萬美元，尚有近2億美元資產遭EFG銀行凍結。黃正一則獲利1100萬美元。

此外，渣打銀行理專李暐英、黃卓靈、林蓓莉涉嫌協助鄧文聰掏空，分案偵辦李、黃2女，林女因出境未歸遭通緝；另EFG銀行理專吳曉雲，及鄧文聰以掏空幸福資產購買信義區D3、85大樓土地，特偵組都發交台北地檢署偵辦。

特偵組：金流與藍營無關　至於外界質疑鄧文聰提供國民黨選舉政治獻金，幸福人壽設有國民黨「小金庫」或「密帳」，特偵組經查資金流向與國民黨無關。

起訴書指出，鄧文聰、黃正一007年8月移轉幸福5000萬美元資產予EFG銀行成立STAAP基金後，佯稱鄧私設SUREWIN、HIGH GROUNDSE兩家公司為幸福人壽「關係企業」，以STAAP基金為擔保，向EFG銀行借款2200萬美金，朋分作為其他私人企業資金運用。

鄧2008年1月接董事長後，再以幸福1億5600萬美元資產，委託EFG銀行成立SFIP基金，向EFG銀行質押借款後匯洗至其私人帳戶。去年8月金管會接管後，發現資產遭質借2億多美元，且因未獲清償，EFG銀行迄今仍凍結帳戶約1億9384萬美元資產。

鄧文聰昨移審法院時仍否認犯行，供稱其確為上海百威公司等海外公司的負責人，並持有多國護照，法官認定鄧有逃亡之資力，供詞與其他證人不一，且有逃亡之虞，裁定羈押。

",CHTOTW0020150730eb7v000er,zhtw
816056,掏空幸福人壽127億 鄧文聰判10年定讞,"〔記者項程鎮╱台北報導〕前幸福人壽董事長鄧文聰，被控掏空公司資產一百二十七億元，一審重判二十八年、二審改判二十六年，最高法院昨天審結其中鄧違背職務向渣打銀行質押借款的部分，合議庭認定鄧文聰違反證交法加重背信罪，將他判刑十年、併科罰金三億五千萬元確定，鄧要入獄坐牢，目前鄧仍在羈押中。

最高法院指出，鄧文聰另向境外EFG銀行質押借款的部分，則撤銷發回高院更審，主要因為法院還沒收到美國的司法互助文件回函，加上高院採信鄧的前任幸福人壽董座黃正一辯詞，判黃無罪，最高法院認為與卷證資料內容有落差，因此發回更審。

判決指出，鄧文聰從二○一○年十月起，透過香港渣打銀行職員，把幸福人壽存款八千九百多萬美元和債券一億零二百多萬美元質押挪為私用，被金管會發現後，香港渣打銀行才將餘額一億七千八百多萬美元匯回幸福人壽帳戶。

另外，鄧文聰、黃正一被控在二○○七年八月將幸福人壽五千萬美元資產移給EFG銀行，成立STAAP基金後，向EFG借款二千二百萬元美金作為私人用途，鄧二○○八年一月接董事長，再挪用幸福人壽一億五千六百萬美元，委託EFG另成立SFIP基金，再質押借款匯到私人帳戶，金管會發現後將鄧、黃送辦、兩人遭起訴。

幸福人壽#鄧文聰

",LIBTOT0020171220edcl0000v,zhtw
816056,幸福人壽案／鄧文聰只減為26年 抱怨「速審法」,"幸福人壽前、後任董事長黃正一、鄧文聰先後掏空公司資產上百億元，台北地院依保險法背信、洗錢罪判鄧文聰28年徒刑，併科罰金9億元；黃正一判刑9年6月，併科罰金2億元。兩人不服上訴，高等法院今撤銷改判，鄧違反保險法背信、洗錢罪，處有期徒刑26年，併科罰金7億5千萬，犯罪所得1億9384萬美元沒收；黃正一無罪。本案仍可上訴。

鄧文聰聽到判決後一臉錯愕，並表示「很驚訝」。鄧說，他請求司法互助的文件還沒完全回來，但法官可能因速審法的關係就「速審速決」，對他來說很不公平，「我沒有防禦權」，並請求交保，讓他有最後的機會能夠到外頭找對自己有利的資料。

檢方起訴指出，鄧文聰、黃正一擔任幸福人壽副董事長、董事長後，金管會多次要求幸福人壽應增資約12.5億元，但鄧、黃不願以自有資金繳納幸福人壽增資股款，為應付金管會保險局增資壓力，兩人共謀將幸福人壽委託銀行代操的資產挪用作為繳納增資案股款的資金來源。兩人為掩飾背信的犯罪所得，且為使將幸福人壽委託銀行代操的資產加以質押借款作為繳納增資案股款的資金來源一事不曝光，接續洗錢。

檢察官起訴指鄧文聰犯罪6年，犯罪所得約127億元台幣，掏空案爆發後，還威脅EFG銀行要否認知道他用紙上公司貸款的事才肯還錢；黃正一犯罪時間為1年，與鄧共犯所得7億1654萬元台幣。

鄧文聰2006年間就讀政治大學經營管理碩士學程全球台商班時，結識在瑞士盈豐銀行（EFG）香港分行擔任客戶關係經理的吳曉雲(北檢偵辦中)。

黃開庭時表示自己英文不好，看不懂簽署的文件寫什麼，並說這些英文文件都是鄧拿給他簽的。黃的律師指出，黃2007年9月5日後就未再簽過名，他2008年1月退出幸福人壽，清償全數股份借款，分毫未取，從司法互助所獲取的文件可見許多文件上黃的簽名都是被冒簽。律師認為本案的實情就是EFG和吳曉雲為了賺取管理費、保險佣金、借款利息，而將幸福人壽的資產質押。

高院在勾稽資金流向後，認定鄧文聰有違法質押、洗錢犯行，而幸福人壽於EFG 銀行的資產委外代操等相關業務，都是由鄧主導，黃正一並不知情，判黃無罪。

鄧文聰訴苦羈押至今，妻子憂鬱、父親斷腿、母親肺癌，希望交保盡孝道，並說自己有重度白內障，也都沒有追蹤肺部腫瘤，希望有良好的就醫環境。黃正一今未聽宣判。

",UDRTOT0020170826ed8p00034,zhtw
816056,前幸福人壽董座鄧文聰 部分判10年定讞,"（中央社記者蕭博文台北20日電）前幸福人壽董事長鄧文聰被控掏空，二審遭判刑26年。案經上訴，最高法院今天針對鄧文聰違背職務向渣打銀行質押借款部分駁回上訴，依保險法背信罪判刑10年定讞。

鄧文聰另涉嫌與前董事長黃正一違背職務向EFG銀行質押借款，二審時鄧文聰遭判有罪、黃正一無罪，最高法院今天撤銷此部分判決，發回台灣高等法院審理。

前最高法院檢察署特別偵查組起訴指出，幸福人壽前後任董事長黃正一、鄧文聰以投資名義，將公司資產搬到EFG銀行香港分行，供兩人質押借款，藉此掏空公司約新台幣130億元。

鄧文聰另以Novel Asia Limited公司名義，在香港渣打銀行開設帳戶，欺騙幸福人壽承辦人該帳戶為幸福人壽所有而匯入款項，再以該帳戶質押借款。

鄧文聰一審被判刑28年，併科罰金9億元，二審則被改判26年，併科罰金新台幣7億5000萬元，犯罪所得1億9384萬美元沒收。

鄧文聰上訴三審，但最高法院認為，渣打銀行案情事證明確，二審判決無違誤，駁回上訴，判刑10年，併科罰金3億5000萬元定讞。

至於鄧文聰被控與黃正一共同掏空部分，最高法院認為，高院沒等到向美國請求協助調查的司法互助資料回覆即判決，且未調查黃正一辯詞與卷內證據不符之處，撤銷此部分判決發回更審。1061220

",CNACHI0020171220edck000h9,zhtw
816056,幸福人壽案重判28年  鄧文聰要上訴,"（中央社記者蔡沛琪台北2016年6月29日電）前幸福人壽董座鄧文聰被控掏空公司約新台幣130億元，台北地院今天依違反保險法等罪判刑28年。他否認掏空，要提起上訴。

頂著盛夏高溫，鄧文聰穿長袖襯衫與毛衣出庭聽判，面無表情。他事後透過律師發表聲明，對判決不服將提起上訴，他否認掏空幸福人壽資產，表示對於遭EFG凍結的幸福人壽資產，若無法追回，他願用個人財產補償。

聲明指出，法院不等對他有利的證據，就草率結案；偵審過程則欺侮本國人，縱放外商銀行，司法偏頗不公。

特偵組起訴指出，幸福人壽前後任董事長黃正一、鄧文聰以投資名義，將公司資產搬到EFG銀行香港分行供兩人質押借款，藉此掏空公司約130億元，依違反保險法、證交法及洗錢防制法起訴兩人。幸福人壽在民國103年因財務惡化，遭金融監督管理委員會接管，案情曝光。

法院審理時，鄧文聰辯稱是EFG銀行內部員工搞鬼，他是被害人，並當庭告發EFG涉犯銀行法；黃正一則稱不知情。檢方痛批鄧文聰是「史上最惡質董事長」、「鱷魚返鄉，禍國殃民」，犯後狡辯、態度惡劣。

法官江俊彥、審判長劉慧芬、陪席法官古瑞君組成的合議庭審理後認為，兩人犯行造成幸福人壽重大損害，無所不用其極，將公司資產挪為私用，否認犯行且無悔意，依違反保險法、洗錢罪，判處鄧文聰28年徒刑，併科9億元罰金；黃正一年6月徒刑，併科2億元，全案可上訴。

",CNACOM0020160630ec6t0003c,zhtw
816056,幸福人壽掏空案 前董座鄧文聰判10年定讞將執行服刑,"幸福人壽掏空案，前董事長鄧文聰涉將公司資產違法設質給外商銀行，再透過洗錢，用於私人購買土地等資產，最高法院依保險法背信等罪判鄧10年有期徒刑及併科罰金新臺幣3億5千萬元，判刑定讞，鄧將執行服刑，至於鄧文聰和另名前董事長黃正一涉犯洗錢的部分，發回更審。

黃正一（77歲）和鄧文聰（57歲）被控涉於2007年8月任幸福人壽正副董事長期間，涉藉口提高經營績效，委託瑞士EFG盈豐銀行代為操作股票投資，卻擅將這筆基金設質給EFG，再用來擔保私人借貸。

黃於2008年1月卸職，鄧接任後，繼續以相同手法掏空幸福人壽，不法所得疑似透過境外帳戶洗錢，被鄧用於購買台北信義D1、D3土地、金典酒店不良債權等資產。

金管會2014年估算幸福人壽遭掏空逾4億美金、折合台幣約133億元，幸福人壽被保險安定基金短暫接管，2015年7月賣給國泰人壽，並持續索討仍遭EFG凍結的逾億美金。

台北地院一審判鄧、黃各28年與9年6月重刑，各併科9億元與2億元的天價罰金，同時告發EFG香港分行女經理吳曉雲涉為本案共犯。鄧、黃2人提出上訴，黃正一在二審獲改判無罪。

",UDRTOT0020171220edck000c8,zhtw
816056,鄧文聰咬不公  法官反批空口承諾,"（中央社記者蔡沛琪台北2016年6月29日電）前幸福人壽董事長鄧文聰被控掏空公司新台幣130億元，今天遭重判28年，他批司法不公。台北地院合議庭則指他只有口頭承諾要賠償。

台北地院依違反保險法、洗錢罪，判鄧文聰28年徒刑，併科罰金9億元；黃正一年6月徒刑，併科罰金2億元，可上訴。

鄧文聰不服，透過律師發表三點聲明，表示要上訴。一、他絕無掏空幸福人壽資產，法官不等外國司法互助的有利證據回覆，就直接以檢察官及外商EFG銀行、渣打銀行所提出的片面資料，錯誤認定事實，草率結案。

二、本案偵審不公，欺辱本國人，縱放外商銀行，EFG銀行涉嫌詐欺幸福人壽資產，金融監督管理委員會、檢察官都不聞不問；甚至特偵組在偵查中與該行理財經理吳曉雲透過EFG銀行選擇性提供資料給檢察官，作為不起訴吳曉雲的交換條件。法官竟請涉案的EFG銀行提供片面資料判他有罪，審理程序偏頗。

三、他願意如之前承諾，對遭EFG銀行非法凍結的幸福人壽資產，願在無法追回的前提下，用個人財產補償。

台北地院合議庭則回應，法院並無明文規定「必須經司法互助」取得的文書才有證據能力，且判決書裡有交代為何EFG銀行提交的文書有證據能力。法官有認定吳曉雲等人是本案犯罪共犯，並未縱放。

合議庭指出，樂見鄧文聰承諾願意賠償幸福人壽，但他只是口頭承諾，並未提出具體賠償行動。幸福人壽接管人財團法人保險安定基金有對黃正一、鄧文聰、吳曉雲及EFG銀行瑞士總行及香港分行對於所受損害提起附帶民事訴訟賠償。

",CNACOM0020160629ec6t000vd,zhtw
11501572,走私百把槍、萬發子彈 竹聯幫分會長重判20年,"竹聯幫弘仁會板橋分會長廖緯蒼，今年5月間走私109支長短槍及萬發子彈案，基隆地院判處主嫌竹聯幫分會長廖緯蒼20年刑期，併科60萬元，共犯陳建斌等人分判15至5年等不同刑期。

據悉，廖男先透過林聖評找在台收貨人，而林男則透過女友林玉娟的前男友陳建斌承攬，並指示陳前往新北市租迷彩倉庫，供槍枝進口後藏放。廖再透過香港籍友人陳鳳翔與不知名男子，4月20日從菲律賓取得7支長槍及102支手槍，與1萬2379發子彈、彈匣等違禁品，夾藏在注塑機內，透過香港轉運後再進入台灣。

偵辦人員假意讓貨物通關，5月4日尾隨貨櫃到迷彩倉庫附近埋伏，見犯嫌準備拆箱，擔心槍枝取出後有危險，當場拘提陳建斌與林聖評的弟弟林清和2人，並循線追查在逃共犯。刑事局則透過國際合作，台警緊急註銷2人護照，最後由新加坡警方將2嫌逮歸案。

檢方調查後，以廖拒絕透露槍枝來源，加上走私槍彈數量龐大，嚴重危害社會秩序，依違反槍砲彈藥刀械管制條例等罪，向法官聲請將廖男量處無期徒刑，併科罰金新台幣3千萬元。

另外，陳建斌、林聖評、林玉娟與林清和、陳鳳翔等5人，也被依違反槍砲彈藥刀械管制條例等罪起訴。法院審理後，認定林玉娟為幫助犯，判她5年徒刑，林清和無罪，陳鳳翔公訴不受理，可上訴。

",CTRTOT0020181003eea30010y,zhtw
11501572,經港走私值1300萬槍械 台黑漢囚20年,"【東方日報專訊】【本報綜合報道】台灣基隆海關與警方今年五月從經由香港進口的貨櫃內，破獲全台近十年來最大宗槍械走私案，市值高達五千萬元（新台幣‧下同，約一千三百萬港元）。基隆地方法院近日判處主謀、有黑幫背景的廖緯蒼入獄二十年，並罰款六十萬元（約十五萬六千港元）。

另3人判囚 港人公訴不受理

同案中另有三名被告則判囚五年至十五年不等；一人獲判無罪，香港人陳鳳翔公訴不受理；全案仍可上訴。

六名被告涉嫌在三月初從菲律賓經香港，藉進口兩部啤機為名，運送裝有走私槍械的貨櫃到台灣，但遭基隆海關會同刑事局警方查獲。

警方專案組五月五日在新北市三峽區火葬場附近倉庫，查獲共一百零九把長短槍、一萬二千三百七十八發子彈，並逮捕前往貨櫃場領貨的陳建斌與五名共犯，而該批長短槍被查獲時皆已上膛。

其中廖緯蒼為規避刑責，四月二十九日即先行搭機抵達澳門，原定五月五日回台，因警方於五日當天發布破案新聞，廖男見事敗，連忙搭機飛到馬來西亞，七日又轉機到新加坡，台警緊急註銷其護照，最後由新加坡警方將他逮捕歸案，並於同月十日押返台灣。

",ORDNOT0020181003eea40002d,zhtw
11501572,走私109把槍枝 主嫌判20年徒刑併科罰金60萬元,"基隆關今年4月破獲制式槍彈走私大案，共查獲制式手槍、制式長槍、仿制式手槍等109把槍械，且子彈數量高達1萬2379發，6嫌遭依違反槍砲彈藥刀械管制條例起訴，檢方請求對主嫌廖緯蒼量處最重刑責，基隆地方法院近日審結，廖緯蒼獲判有期徒刑20年，併科罰金新台幣60萬元得易服勞役200日。

基隆地方法院依共同犯槍砲彈藥刀械管制條例，判處廖緯蒼有期徒刑20年，併科罰金新台幣60萬元，得易服勞役200日；同案林聖評依同罪獲判有期徒刑15年，併科罰金50萬元，得易服勞役，以3000元折算1日；陳建斌則獲判有期徒刑14年，併科罰金40萬元，得易服勞役，以3000元折算1日。

協助聯絡的林玉娟則遭基隆地方法院依幫助犯槍砲彈藥刀械管制條例，判處有期徒刑5年，併科罰金10萬元，得易服勞役，以3000元折算1日；林清和獲判無罪，陳鳳翔公訴不處理。

據檢方調查，廖嫌等人在今年3月分工以進口「注塑機」夾藏槍彈方式，透過港籍陳鳳翔隻手，從菲律賓經由大陸香港，將大批管制槍砲彈藥運輸來台。廖嫌指示林聖評找尋收貨人，林嫌透過林玉娟找上陳建斌。陳嫌在收取10餘萬酬勞的情形下，同意擔任收貨人，並協助廖嫌等人租用新北市一迷彩倉庫作為藏放槍支地點。

廖坦言清楚貨櫃中夾藏的是槍枝彈藥，並供稱曾指示林聖評收槍彈貨物，且陳建斌所持有、用以聯絡犯案的手機也是他委請林轉交。

林聖評也供稱，廖當初對他說要進「機器」，他早在今年3、4月就猜到廖委託收領的可能是槍枝或毒品，他也有告知林玉娟自己的猜測。林玉娟也有猜到這可能是違法的事，但仍詢問男友陳建斌是否願意受託運輸；林清和涉嫌趁隙撥打電話給林聖評通風報信。

檢方已掌握用來夾藏槍彈的注塑機及犯案手機、陳嫌運貨等證據。全案經由港務警察總隊、調查局航業處基隆調查站移送基隆地檢署偵辦，檢方認為，廖緯蒼、林聖評、林玉娟、陳建斌、陳鳳翔違反槍砲彈藥刀械管制條例等罪嫌，同為正犯；林清和則涉嫌湮滅刑事證據，6嫌遭起訴。

當時檢方起訴時指出，廖緯蒼始終拒絕供出槍彈來源，還編造不實情節，應加重其刑；再加上廖走私的槍彈數量龐大，「可以配備一個步兵連」，請求量處最重刑責，併科罰金3千萬元；近日判決出爐，廖緯蒼獲判有期徒刑20年，併科罰金新台幣60萬元，得易服勞役200日，全案可上訴。

",UDRTOT0020181003eea3000sk,zhtw
